,Name,Province,Location,River,Drainage_Area,Latitude,Longitude
0,St Lucia Estuary,KwaZulu-Natal, Richards Bay,,9542,-28.383333333333333,32.416666666666664
1,Mfolozi/Msunduzi Estuary,KwaZulu-Natal, Richards Bay,"Mfolozi River, and Msunduzi ",11068,-28.4,32.416666666666664
2,Richards Bay/Mhlathuze Estuary,KwaZulu-Natal, Richards Bay,Mhlathuze ,3670,-28.85,32.05
3,Mlalazi Estuary,KwaZulu-Natal, Richards Bay,Mlalazi ,492,-28.95,31.816666666666666
4,Matigulu/Nyoni Estuary,KwaZulu-Natal, Richards Bay,Matigulu River and Nyoni ,900,-29.083333333333332,31.633333333333333
5,Thukela (tugela) Estuary,KwaZulu-Natal, between Richards Bay and Durban,Tugela ,29101,-29.216666666666665,31.5
6,Mvoti Estuary,KwaZulu-Natal, north of Durban,Mvoti ,2829,-29.4,31.333333333333332
7,Mgeni Estuary,KwaZulu-Natal, Durban,Mgeni ,4432,-29.8,31.033333333333335
8,Durban Bay,KwaZulu-Natal, Durban,,264,-29.866666666666667,31.066666666666666
9,Mkomazi Estuary,KwaZulu-Natal, south of Durban,Mkomazi ,4310,-30.2,30.8
10,Mzimkulu Estuary,KwaZulu-Natal, Port Shepstone,Mzimkulu ,6745,-30.733333333333334,30.45
11,Mtavuna Estuary,KwaZulu-Natal, south of Port Edward,Mtamvuna ,1553,-31.066666666666666,30.2
12,Mzamba Estuary,Eastern Cape, south of Port Edward,Mzamba ,505,-31.1,30.166666666666668
13,Mtentu Estuary,Eastern Cape, north of Port St Johns,Mtentu ,965,-31.25,30.05
14,Msikaba Estuary,Eastern Cape, north of Port St Johns,Msikaba ,1011,-31.3,29.966666666666665
15,Mzintlava Estuary,Eastern Cape, north of Port St Johns,Mzintlava ,280,-31.533333333333335,29.683333333333334
16,Mntafufu Estuary,Eastern Cape, north of Port St Johns,Mntafufu ,178,-31.566666666666666,29.633333333333333
17,Mzimvubu Estuary,Eastern Cape, Port St Johns,Mzimvubu ,19853,-31.633333333333333,29.55
18,Mngazi Estuary,Eastern Cape, south of Port St Johns,Mngazi ,561,-31.683333333333334,29.45
19,Mngazana Estuary,Eastern Cape, south of Port St Johns,Mngazana ,285,-31.7,29.416666666666668
20,Mtakatye Estuary,Eastern Cape, south of Port St Johns,Mtakatye ,493,-31.85,29.266666666666666
21,Mdumbi Estuary,Eastern Cape, south of Port St Johns,Mdumbi ,2338,-31.933333333333334,29.216666666666665
22,Mtata Estuary,Eastern Cape, south of Port St Johns,Mtata ,2585,-31.95,29.166666666666668
23,Xora Estuary,Eastern Cape, south of Port St Johns,Xora ,438,-32.166666666666664,29.0
24,Mbashe Estuary,Eastern Cape, south of Port St Johns,Mbashe ,6030,-32.25,28.9
25,Nqabara Estuary,Eastern Cape, south of Port St Johns,Nqabara ,578,-32.333333333333336,28.783333333333335
26,Shixini Estuary,Eastern Cape, south of Port St Johns,Shixini ,332,-32.4,28.716666666666665
27,Qora Estuary,Eastern Cape, south of Port St Johns,Qora ,700,-32.45,28.666666666666668
28,Nggusi/Inxaxo Estuary,Eastern Cape, south of Port St Johns,Nggusi River and Inxaxo ,134,-32.583333333333336,28.516666666666666
29,Kobonqaba Estuary,Eastern Cape, south of Port St Johns,Kobonqaba ,321,-32.6,28.483333333333334
30,Great Kei Estuary,Eastern Cape, north of East London,Great Kei ,20566,-32.68333333333333,28.383333333333333
31,Kwelera Estuary,Eastern Cape,north of East London,Kwelera ,418,-32.916666666666664,28.083333333333332
32,Gqunube Estuary,Eastern Cape, north of East London,Gqunube ,665,-32.93333333333333,28.033333333333335
33,Nahoon Estuary,Eastern Cape, East London,Nahoon ,548,-32.983333333333334,27.95
34,Buffalo Estuary,Eastern Cape, East London,Buffalo ,1279,-33.03333333333333,27.916666666666668
35,Tyolomnqa Estuary,Eastern Cape, southwest of East London,Tyolomnqa ,441,-33.233333333333334,27.583333333333332
36,Keiskamma Estuary,Eastern Cape, between East London and Port Alfred,Keiskamma ,2745,-33.28333333333333,27.483333333333334
37,Great Fish Estuary,Eastern Cape, near Port Alfred,Great Fish ,30366,-33.5,27.133333333333333
38,Kowie Estuary,Eastern Cape, Port Alfred,Kowie ,800,-33.6,26.9
39,Kariega Estuary,Eastern Cape, Port Alfred,Kariega ,685,-33.68333333333333,26.733333333333334
40,Bushmans Estuary,Eastern Cape, southwest of Port Alfred,Bushmans ,2675,-33.7,26.666666666666668
41,Sundays Estuary,Eastern Cape, northeast of Port Elizabeth,Sundays ,20990,-33.71666666666667,25.85
42,Swartkops Estuary,Eastern Cape, Port Elizabeth,Swartkops ,1303,-33.86666666666667,25.633333333333333
43,Gamtoos Estuary,Eastern Cape, west of Port Elizabeth,Gamtoos ,34635,-33.96666666666667,25.066666666666666
44,Kromme Estuary,Eastern Cape, west of Port Elizabeth,Krom ,1085,-34.15,24.85
45,Keurbooms Estuary,Western Cape, near Plettenberg Bay,Keurbooms ,1080,-34.03333333333333,23.383333333333333
46,Knysna Estuary and Harbour,Western Cape, Knysna,Knysna ,525,-34.083333333333336,23.066666666666666
47,Swartvlei Estuary,Western Cape, between Knysna and Mossel Bay,Sedgefield ,455,-34.0,22.8
48,Gourits Estuary,Western Cape, southwest of Mossel Bay,Goutitz ,45715,-34.35,22.55
49,Goukou Estuary (kafferkuils),Western Cape, west of Mossel Bay,Goukou ,1550,-34.38333333333333,21.416666666666668
50,Duiwenhoks Estuary,Western Cape, west of Mossel Bay,Duiwenhoks ,1340,-34.36666666666667,21.0
51,BreÃ« Estuary,Western Cape, west of Mossel Bay,Bree ,12384,-34.4,20.85
52,Heuningnes Estuary,Western Cape, Cape Agulhas,Heuningnes ,1400,-34.7,20.116666666666667
53,Klein Estuary,Western Cape, near Hermanus,Klein ,906,-34.416666666666664,19.3
54,Bot Estuary,Western Cape, northwest of Hermanus,Bot ,920,-34.35,19.083333333333332
55,Palmiet Estuary,Western Cape, west of Hermanus,Plamiet ,535,-34.35,19.0
56,Diep Estuary,Western Cape, near Cape Town,Diep ,1495,-33.88333333333333,18.466666666666665
57,Berg Estuary,Western Cape, north of Cape Town,Berg ,7715,-32.766666666666666,18.15
58,Verloren Estuary,Western Cape, north of Cape Town,Verlorenvlei ,1895,-32.31666666666667,18.333333333333332
59,Olifants Estuary,Western Cape, north of Cape Town,Olifants ,46220,-31.7,18.183333333333334
60,Orange Estuary (Gariep),Northern Cape,border Namibia north of Port Nolloth,Orange ,549700,-28.633333333333333,16.45
